CA	organ_age	Age_group
51.3	54.4	[51,54)
55.2	55.8	[54,57)
62.2	58	[60,63)
55.4	53.6	[54,57)
52.3	50.6	[51,54)
63.4	50.3	[63,66)
68.4	70.9	[66,69)
43.5	47	[42,45)
43.9	40.1	[42,45)
52.4	56.5	[51,54)
41.6	39.1	[39,42)
49.1	50.8	[48,51)
58.6	55.4	[57,60)
61.4	52.7	[60,63)
79.1	72.6	[78,81)
70.4	78.3	[69,72)
54	50.7	[54,57)
51.1	51.3	[51,54)
48.7	44.1	[48,51)
21.7	20.8	[21,24)
68.3	66.4	[66,69)
64.4	57.6	[63,66)
72.4	72.4	[72,75)
66.9	70.1	[66,69)
76.4	68.1	[75,78)
75.9	76.6	[75,78)
51.7	47.2	[51,54)
51.1	44.4	[51,54)
80.1	75.2	[78,81)
47.3	49.4	[45,48)
44.7	43.2	[42,45)
62	51.4	[60,63)
72.2	67.4	[72,75)
69.6	62.3	[69,72)
49.9	50.8	[48,51)
70.7	68	[69,72)
48.7	49.3	[48,51)
70.2	65.4	[69,72)
36.7	33.3	[36,39)
31.4	31.7	[30,33)
31.6	33	[30,33)
43.2	33	[42,45)
78	70.8	[78,81)
59.2	64.6	[57,60)
41.3	35.7	[39,42)
46.5	56.8	[45,48)
48.6	47.3	[48,51)
42.5	50.3	[42,45)
44.9	42.3	[42,45)
53.3	47.8	[51,54)
46.8	42.9	[45,48)
67.2	62.6	[66,69)
41.2	40	[39,42)
53.1	57.5	[51,54)
53.6	51.6	[51,54)
36.2	32.7	[36,39)
55.3	61.1	[54,57)
71.6	72.4	[69,72)
59	52.2	[57,60)
54.9	63.8	[54,57)
45.1	47	[45,48)
58	49.9	[57,60)
61.3	63.2	[60,63)
41	43.5	[39,42)
36.5	30.1	[36,39)
60.4	58.4	[60,63)
53.5	64.1	[51,54)
71.3	68.3	[69,72)
47.2	37.7	[45,48)
47	46.7	[45,48)
53	63.1	[51,54)
59.7	60.8	[57,60)
44.2	39.7	[42,45)
34.3	39.6	[33,36)
55.3	53.9	[54,57)
67.1	69.8	[66,69)
25.3	33.1	[24,27)
76.2	74.9	[75,78)
31.3	37.1	[30,33)
39.5	37.1	[39,42)
53.4	57.5	[51,54)
58.9	54.4	[57,60)
30.4	37.5	[30,33)
51	48.1	[51,54)
50.9	50.1	[48,51)
80.4	70.2	[78,81)
76.7	74.6	[75,78)
39.8	42.5	[39,42)
66.7	70.2	[66,69)
21.3	23.6	[21,24)
45	41.1	[45,48)
47.5	51.3	[45,48)
37.3	39.1	[36,39)
51.2	54.8	[51,54)
72.1	73.6	[72,75)
66.3	77.9	[66,69)
20.5	22.5	[18,21)
46.5	49.8	[45,48)
45.4	45.4	[45,48)
53.3	46.1	[51,54)
26.9	26.8	[24,27)
54.8	54.6	[54,57)
75.7	74.9	[75,78)
33.9	40.9	[33,36)
76.4	66.1	[75,78)
81.2	70.5	[81,84)
47	47.2	[45,48)
54.6	50	[54,57)
63.6	49.9	[63,66)
59.1	60.2	[57,60)
25.1	23.9	[24,27)
61.8	50.1	[60,63)
34	34.6	[33,36)
56.4	51.5	[54,57)
36.7	31.8	[36,39)
75.4	72.5	[75,78)
37.4	34.8	[36,39)
51.3	39.1	[51,54)
43.3	44.7	[42,45)
54.7	52.7	[54,57)
60.4	67.5	[60,63)
37.6	43.2	[36,39)
62.6	63.4	[60,63)
40	48.8	[39,42)
67.2	68.4	[66,69)
43	38.1	[42,45)
41.1	50.3	[39,42)
54.7	49.4	[54,57)
51.9	57.7	[51,54)
36.2	37.2	[36,39)
58.4	57	[57,60)
59.8	62.5	[57,60)
42.7	40	[42,45)
73.3	67.7	[72,75)
31.4	32.4	[30,33)
69.8	69.9	[69,72)
43.3	43.3	[42,45)
35.9	37	[33,36)
31.7	36.8	[30,33)
59.6	54.7	[57,60)
67	68.5	[66,69)
68.8	64.2	[66,69)
45.9	47.7	[45,48)
33.1	37.2	[33,36)
69.9	71.3	[69,72)
69.5	70.7	[69,72)
63.2	61.4	[63,66)
70.1	73.5	[69,72)
66.9	66.1	[66,69)
43.8	47.1	[42,45)
53.2	54	[51,54)
51	50	[51,54)
72.5	71.9	[72,75)
36.2	35.3	[36,39)
39	45.2	[39,42)
44.5	33	[42,45)
80.4	73	[78,81)
34.1	35.2	[33,36)
30.5	30.6	[30,33)
39.5	41.6	[39,42)
41	35.8	[39,42)
38.2	27.8	[36,39)
33.6	37.4	[33,36)
67.5	66.6	[66,69)
70.7	73.3	[69,72)
73.9	69.3	[72,75)
65.3	58.6	[63,66)
55.9	54.1	[54,57)
63.1	68.4	[63,66)
