CA	organ_age	Age_group
67.4	72.4	[66,69)
63.4	63.2	[63,66)
35.6	43	[33,36)
67.3	64.3	[66,69)
65.9	65.1	[63,66)
60.6	63.5	[60,63)
29.1	23.1	[27,30)
72.5	62.7	[72,75)
39.1	33.2	[39,42)
67.8	67.3	[66,69)
41.8	48.6	[39,42)
58.9	62.6	[57,60)
32.3	34	[30,33)
46.4	52.8	[45,48)
51.8	51.5	[51,54)
52.6	66.6	[51,54)
49.4	53	[48,51)
72	71.1	[72,75)
71.2	72.4	[69,72)
66.2	70.6	[66,69)
74.3	63.5	[72,75)
44.3	40.6	[42,45)
54.9	47	[54,57)
49.1	43.4	[48,51)
59.7	55.5	[57,60)
68.3	71.9	[66,69)
65	67.9	[63,66)
64.4	62.4	[63,66)
39.9	32.1	[39,42)
75.9	69	[75,78)
43.8	60.5	[42,45)
68.3	74.2	[66,69)
47.1	47.2	[45,48)
66.1	67.7	[66,69)
62.2	63.9	[60,63)
50.8	51.1	[48,51)
39.3	38.3	[39,42)
65.8	72.9	[63,66)
72.2	69.5	[72,75)
36.9	35.2	[36,39)
63.6	61.4	[63,66)
71.6	72.2	[69,72)
76.8	69	[75,78)
76	74.8	[75,78)
69.5	65.5	[69,72)
47.5	56.2	[45,48)
71.4	72.4	[69,72)
47	41.3	[45,48)
38.5	32.9	[36,39)
61.8	60.6	[60,63)
43.7	49.3	[42,45)
36	32	[36,39)
49.6	63.9	[48,51)
30.7	29.2	[30,33)
50.6	52.8	[48,51)
65	52.1	[63,66)
66.9	67.1	[66,69)
34	39.5	[33,36)
56.1	65.7	[54,57)
31.6	33.5	[30,33)
51.6	51.3	[51,54)
67.2	71.4	[66,69)
45.9	40.9	[45,48)
57.2	53	[57,60)
21.7	17	[21,24)
67.1	66.6	[66,69)
18.2	22.6	[18,21)
28.5	23.6	[27,30)
24	26.3	[24,27)
81	75.1	[81,84)
77.1	73.3	[75,78)
46.5	51.7	[45,48)
47.5	54.5	[45,48)
34.6	35.1	[33,36)
66.8	68.4	[66,69)
67.2	68.6	[66,69)
43.3	43.2	[42,45)
29.9	29.8	[27,30)
37.4	36.1	[36,39)
41.4	49.3	[39,42)
50.9	42.1	[48,51)
36.1	41	[36,39)
44.2	44.4	[42,45)
20.4	23.5	[18,21)
29.8	29.9	[27,30)
46.7	44.3	[45,48)
39.3	40.6	[39,42)
34.7	36.1	[33,36)
41.8	33.9	[39,42)
69	70.2	[69,72)
54.9	62	[54,57)
77	69.1	[75,78)
33.7	48.1	[33,36)
72.4	71.5	[72,75)
62.1	60.2	[60,63)
45.2	42.1	[45,48)
69.1	66.3	[69,72)
35.5	31.8	[33,36)
28.9	38.5	[27,30)
51.7	55	[51,54)
46.4	40.8	[45,48)
52.5	53	[51,54)
37.2	29.2	[36,39)
59.2	65	[57,60)
