CA	organ_age	Age_group
64.4	70	[63,66)
54.8	48.7	[54,57)
64.2	69.2	[63,66)
24.9	21	[24,27)
68.4	67.6	[66,69)
32.8	38.5	[30,33)
38.5	40.3	[36,39)
46.3	40.6	[45,48)
60.4	52.8	[60,63)
73.3	66.5	[72,75)
43.2	33.7	[42,45)
75.4	70.2	[75,78)
46.7	45.4	[45,48)
44.4	40.2	[42,45)
62.6	72.2	[60,63)
68.9	68.6	[66,69)
66.2	73.4	[66,69)
71.9	67.7	[69,72)
70.8	71.7	[69,72)
52.9	52.8	[51,54)
51.9	54	[51,54)
40	36.6	[39,42)
43.1	51.8	[42,45)
55.6	55.6	[54,57)
51.4	54.2	[51,54)
58.7	51.8	[57,60)
54.4	36.7	[54,57)
52.4	57.7	[51,54)
54.2	55.7	[54,57)
38.3	37.9	[36,39)
67.9	67.5	[66,69)
61.9	66.4	[60,63)
66.1	69.2	[66,69)
25.9	20.4	[24,27)
73.5	73.4	[72,75)
41.9	36.3	[39,42)
27.5	30.8	[27,30)
28.4	30.6	[27,30)
36	40.6	[36,39)
49	42.2	[48,51)
61.7	64.2	[60,63)
72.1	71.5	[72,75)
42.8	49.2	[42,45)
31.3	26	[30,33)
51.2	49.5	[51,54)
51.9	70.3	[51,54)
72.7	70.7	[72,75)
55.3	53.6	[54,57)
31.1	34.1	[30,33)
43.9	43.6	[42,45)
45.7	53.3	[45,48)
44.1	35.7	[42,45)
48.3	45.9	[48,51)
64.2	50.8	[63,66)
40.3	28.7	[39,42)
72.9	61.9	[72,75)
77.9	77.5	[75,78)
66.1	69.7	[66,69)
65.8	68.9	[63,66)
49.2	44.4	[48,51)
66.2	71.3	[66,69)
28.1	35.8	[27,30)
58.1	58.5	[57,60)
76.2	76	[75,78)
53.9	58.7	[51,54)
73.1	52.8	[72,75)
46.2	38.4	[45,48)
45	54.6	[45,48)
31.1	36.6	[30,33)
44.4	46.4	[42,45)
37.1	40.7	[36,39)
58.8	53.3	[57,60)
69.4	65.3	[69,72)
60.4	65.5	[60,63)
62.7	59.8	[60,63)
54.4	57.3	[54,57)
53.8	51	[51,54)
67.3	70.9	[66,69)
31.3	31	[30,33)
30.1	22	[30,33)
77.6	75.9	[75,78)
65.6	69.1	[63,66)
64.6	73.4	[63,66)
62.4	69	[60,63)
31.9	33.2	[30,33)
48	44.1	[48,51)
53.9	56.6	[51,54)
53.8	47.6	[51,54)
49.5	47	[48,51)
42.1	41.9	[42,45)
37.7	32.1	[36,39)
58.4	49.7	[57,60)
44.8	47.5	[42,45)
62.6	60.4	[60,63)
51.8	55.8	[51,54)
50.4	50.8	[48,51)
67.9	72.6	[66,69)
53.8	49	[51,54)
50.9	59.2	[48,51)
66.8	66.2	[66,69)
49.4	42.6	[48,51)
38.2	36.8	[36,39)
57.2	45.5	[57,60)
76.2	69.7	[75,78)
47.6	60	[45,48)
34.2	30.6	[33,36)
49.6	48.6	[48,51)
42.8	46.1	[42,45)
52.3	51.4	[51,54)
57.1	47.9	[57,60)
80.4	68.9	[78,81)
40.6	38.3	[39,42)
67.8	67.6	[66,69)
46.5	49.9	[45,48)
41	47.9	[39,42)
60.4	66.1	[60,63)
70	76.9	[69,72)
32.4	31.2	[30,33)
33.1	31.8	[33,36)
57.9	47.4	[57,60)
55.2	40.5	[54,57)
76.5	76.7	[75,78)
26.8	35.1	[24,27)
50.8	51.8	[48,51)
55.9	46.5	[54,57)
46.7	34.6	[45,48)
46.7	35.7	[45,48)
44.4	51.1	[42,45)
76.3	68.7	[75,78)
52.9	47	[51,54)
46	49.1	[45,48)
73.9	77.2	[72,75)
62.2	67.9	[60,63)
70	71.4	[69,72)
49.4	49.1	[48,51)
43.8	37.7	[42,45)
46.9	47.4	[45,48)
52.2	46.9	[51,54)
34.2	24.3	[33,36)
74.1	72.5	[72,75)
37.7	39.2	[36,39)
56.2	52.3	[54,57)
25.7	25.1	[24,27)
30.2	34.1	[30,33)
53.2	63.7	[51,54)
30.9	36.6	[30,33)
32	33	[30,33)
57.3	57.8	[57,60)
68.5	75.9	[66,69)
63.6	69.5	[63,66)
61.7	63.1	[60,63)
60.2	63.4	[60,63)
31.1	31.6	[30,33)
67.4	71.8	[66,69)
50.7	48.2	[48,51)
64.8	75.7	[63,66)
43.4	48.8	[42,45)
44.6	35.8	[42,45)
38	33.4	[36,39)
26.6	35.3	[24,27)
36.3	34.6	[36,39)
33.1	36.4	[33,36)
38.6	42.8	[36,39)
34.8	31	[33,36)
23.5	25.4	[21,24)
36.2	36.2	[36,39)
60.8	65.1	[60,63)
71.8	72.6	[69,72)
72.6	67.3	[72,75)
63.5	63.8	[63,66)
67.9	67.8	[66,69)
66.6	71.3	[66,69)
40.4	37.8	[39,42)
64.8	69.6	[63,66)
33.1	31	[33,36)
64.7	70.7	[63,66)
50.5	55	[48,51)
46.5	44.5	[45,48)
68.3	71.7	[66,69)
41.9	35	[39,42)
64.1	68.4	[63,66)
46.2	46.3	[45,48)
18.2	23.6	[18,21)
44.1	38.6	[42,45)
55	61.2	[54,57)
