CA	organ_age	Age_group
61.3	68.1	[60,63)
32.3	33.8	[30,33)
57.3	72.5	[57,60)
42.1	46.6	[42,45)
63.3	69.7	[63,66)
46	46.8	[45,48)
41.3	36.4	[39,42)
58.6	51.2	[57,60)
55.9	49.1	[54,57)
69.3	73.6	[69,72)
58.5	53.5	[57,60)
70.6	67.5	[69,72)
74.7	70.6	[72,75)
46.7	46.4	[45,48)
71.5	64.5	[69,72)
69.3	72.7	[69,72)
59.9	52.1	[57,60)
61.3	73	[60,63)
40.2	31.6	[39,42)
44.8	49.1	[42,45)
50.9	48.4	[48,51)
70.6	65.5	[69,72)
40.3	50	[39,42)
61.4	60.5	[60,63)
59.7	54.4	[57,60)
54.4	52.1	[54,57)
61	65	[60,63)
50.3	42.8	[48,51)
23.4	27.7	[21,24)
49.2	57.8	[48,51)
56	55.5	[54,57)
37.4	42.1	[36,39)
73.7	66.5	[72,75)
68.6	68.5	[66,69)
36.8	41.5	[36,39)
35.7	33.8	[33,36)
66.5	62.1	[66,69)
28.4	31.7	[27,30)
58.7	50.7	[57,60)
21.4	26	[21,24)
39.4	39.7	[39,42)
44	44.7	[42,45)
54.3	53.6	[54,57)
56.8	40.8	[54,57)
49.8	39.7	[48,51)
47.7	53.2	[45,48)
79.7	77.2	[78,81)
38.2	36.4	[36,39)
45.5	45.6	[45,48)
30.5	39.3	[30,33)
44.7	42.3	[42,45)
55.8	66.3	[54,57)
50.4	50.2	[48,51)
43.3	53.6	[42,45)
72.5	71.7	[72,75)
77.8	75.4	[75,78)
48.2	45.7	[48,51)
42.2	36.8	[42,45)
43.3	34.5	[42,45)
65.1	70.5	[63,66)
47.4	38.1	[45,48)
30.7	31.8	[30,33)
49.4	54.8	[48,51)
53.1	48.7	[51,54)
70.9	72.5	[69,72)
24.8	28.7	[24,27)
53.5	53.8	[51,54)
54.3	53.4	[54,57)
38.8	40.6	[36,39)
73.6	70.7	[72,75)
73.8	70.5	[72,75)
47.2	52.2	[45,48)
29.7	32.1	[27,30)
72.9	72.4	[72,75)
55.8	59.2	[54,57)
48.7	41.9	[48,51)
45.1	50.6	[45,48)
67.2	65.7	[66,69)
38.9	41.4	[36,39)
44.7	46	[42,45)
69.4	68.3	[69,72)
37.8	31.1	[36,39)
72.8	68.6	[72,75)
55.6	66	[54,57)
62.7	65.7	[60,63)
51.6	56.3	[51,54)
46.9	49.8	[45,48)
38	36.1	[36,39)
56.4	56.3	[54,57)
64.3	62.8	[63,66)
60.7	67.4	[60,63)
38.5	33.2	[36,39)
76.8	73	[75,78)
35.2	44.2	[33,36)
49.3	50.9	[48,51)
67.1	70.9	[66,69)
79.5	75.3	[78,81)
61.7	66.9	[60,63)
63.6	75.2	[63,66)
72.2	73.5	[72,75)
60.2	63.5	[60,63)
58.9	56.2	[57,60)
54.5	53.6	[54,57)
48.1	47.1	[48,51)
35	33.2	[33,36)
72.9	66.6	[72,75)
55.6	51.3	[54,57)
42	29.7	[42,45)
72.3	75.2	[72,75)
74.3	78.7	[72,75)
40.5	40.4	[39,42)
63.1	61.4	[63,66)
76.1	73.4	[75,78)
54.2	50.7	[54,57)
29.1	26	[27,30)
52.4	51.9	[51,54)
58.8	51.8	[57,60)
58.4	47.3	[57,60)
50.6	56.4	[48,51)
51.9	40.8	[51,54)
76.1	77.7	[75,78)
44.9	38.2	[42,45)
54.6	51.6	[54,57)
31.1	30.4	[30,33)
62.4	64.9	[60,63)
28.2	25.4	[27,30)
32.7	41.1	[30,33)
21.9	25.4	[21,24)
69.5	69.5	[69,72)
29.6	28.6	[27,30)
69.7	72.4	[69,72)
63.3	68.1	[63,66)
69.1	64.9	[69,72)
56.2	56.2	[54,57)
53.5	56.5	[51,54)
58.5	53.2	[57,60)
52.2	54.5	[51,54)
42.2	25.6	[42,45)
29.2	32.1	[27,30)
60.8	62.4	[60,63)
26.8	28.1	[24,27)
46.6	49.2	[45,48)
50.4	44.5	[48,51)
58.1	65.6	[57,60)
62.3	73.1	[60,63)
57.6	58.5	[57,60)
57.8	68.8	[57,60)
61.2	63.2	[60,63)
35.3	37.5	[33,36)
56.4	64.8	[54,57)
34.1	37.3	[33,36)
37.7	33.5	[36,39)
67.9	68.1	[66,69)
54.4	59.7	[54,57)
43.6	46.1	[42,45)
55.3	51.8	[54,57)
55.6	51.2	[54,57)
68.8	69.5	[66,69)
76.7	71.9	[75,78)
35.2	33	[33,36)
52.2	41.3	[51,54)
58.6	56.9	[57,60)
54.2	53.1	[54,57)
71.7	72.5	[69,72)
61.3	67.8	[60,63)
41	52.2	[39,42)
66.1	61.1	[66,69)
61.4	48.9	[60,63)
61.5	63.2	[60,63)
60.6	47.9	[60,63)
42.1	34.6	[42,45)
65.5	68	[63,66)
49.5	38.2	[48,51)
50	55.1	[48,51)
48.6	46.7	[48,51)
57.3	57.3	[57,60)
64	58.1	[63,66)
41.8	41.9	[39,42)
51.2	51.5	[51,54)
48.8	44.4	[48,51)
45.8	52.4	[45,48)
63.6	65.6	[63,66)
53.9	59.6	[51,54)
35.7	31.1	[33,36)
67.4	60.1	[66,69)
46.4	47.9	[45,48)
56.2	49.9	[54,57)
32.4	27.5	[30,33)
41	42.6	[39,42)
56.5	53	[54,57)
70.1	65	[69,72)
44.8	48	[42,45)
56.6	59.4	[54,57)
38.5	44.7	[36,39)
40.9	40.4	[39,42)
76	73	[75,78)
42.3	45.1	[42,45)
20.3	22.5	[18,21)
54.4	50.8	[54,57)
70.8	75.3	[69,72)
52.7	46.4	[51,54)
41.4	39.7	[39,42)
31.5	26.3	[30,33)
45.7	44.7	[45,48)
75.7	69.1	[75,78)
44.8	42.3	[42,45)
29	29.4	[27,30)
62.2	62.4	[60,63)
68.9	66.1	[66,69)
31.1	33.8	[30,33)
33.6	37.3	[33,36)
48.7	40.1	[48,51)
49.7	50.9	[48,51)
37.2	50	[36,39)
63.9	67.6	[63,66)
45.2	46.3	[45,48)
22.4	31	[21,24)
45	39.7	[45,48)
79.3	72	[78,81)
73.6	70.5	[72,75)
61.4	65.8	[60,63)
42.4	36.7	[42,45)
38.4	30.9	[36,39)
73.5	73.2	[72,75)
70.1	71.7	[69,72)
63.3	56.5	[63,66)
51.7	53.4	[51,54)
31.5	28	[30,33)
70.3	68	[69,72)
60	72.9	[60,63)
50.3	52.5	[48,51)
23.3	25.8	[21,24)
44	52.1	[42,45)
40.9	47.4	[39,42)
58.4	55.6	[57,60)
73.9	74.1	[72,75)
44.4	47.4	[42,45)
41	52.8	[39,42)
72.4	73.3	[72,75)
25.1	29.1	[24,27)
31.9	33.9	[30,33)
40.8	38.9	[39,42)
55.5	57.8	[54,57)
45.5	39.4	[45,48)
73.3	73	[72,75)
79.8	74	[78,81)
64.2	62	[63,66)
59.9	66.4	[57,60)
48.1	48.5	[48,51)
22	21.4	[21,24)
25.4	25	[24,27)
66.6	72.5	[66,69)
60.9	55.8	[60,63)
26.5	25.6	[24,27)
49.6	53.9	[48,51)
60.8	68.2	[60,63)
71.3	71	[69,72)
54.9	49	[54,57)
65.9	70.3	[63,66)
40.1	45.7	[39,42)
60.3	55.1	[60,63)
46.4	44.7	[45,48)
41.9	35.2	[39,42)
