CA	organ_age	Age_group
46	48.3	[45,48)
48.6	61.9	[48,51)
39.5	41.8	[39,42)
68.4	66.1	[66,69)
71.2	73.5	[69,72)
65	69.4	[63,66)
31.7	27.3	[30,33)
42.8	42.7	[42,45)
69.5	72.4	[69,72)
59.5	63.9	[57,60)
54.3	58.9	[54,57)
37.3	26.3	[36,39)
66	75.5	[66,69)
55	42.8	[54,57)
61.5	53.4	[60,63)
44.7	51	[42,45)
45.7	43.4	[45,48)
59.7	48.7	[57,60)
64	62.5	[63,66)
57.7	67.2	[57,60)
29	27.6	[27,30)
49.6	55.7	[48,51)
43.7	44.5	[42,45)
53.3	55.2	[51,54)
59.1	57.5	[57,60)
59.1	65.2	[57,60)
41.3	41.4	[39,42)
43.8	36.5	[42,45)
57.3	62.9	[57,60)
68.5	74.9	[66,69)
43.9	40.3	[42,45)
70.5	65	[69,72)
63.8	71.2	[63,66)
30.7	31.5	[30,33)
53.5	51.1	[51,54)
45.4	46.9	[45,48)
34.3	35.3	[33,36)
46.1	51.5	[45,48)
43.1	40.2	[42,45)
26.7	20.9	[24,27)
49.5	51.8	[48,51)
41.7	37.8	[39,42)
32.5	39	[30,33)
67.7	66.3	[66,69)
57.7	55.3	[57,60)
57.4	58.4	[57,60)
67.2	62.1	[66,69)
60.2	51	[60,63)
55.2	54.1	[54,57)
65.9	69.6	[63,66)
69.3	71.7	[69,72)
63.8	63.8	[63,66)
55.5	57.4	[54,57)
62.2	59.1	[60,63)
63.6	65.5	[63,66)
37.1	38.7	[36,39)
46.3	49.3	[45,48)
53.7	49.9	[51,54)
56.3	42.9	[54,57)
32.1	28	[30,33)
56.2	54.2	[54,57)
69.3	68.1	[69,72)
60.7	54.1	[60,63)
58.6	48.1	[57,60)
50.4	47.5	[48,51)
56.5	44.5	[54,57)
68.9	72.3	[66,69)
21.5	27.1	[21,24)
40.1	33.8	[39,42)
29.3	36.9	[27,30)
67.1	68	[66,69)
82.3	74.1	[81,84)
32.2	37.7	[30,33)
44.4	44.1	[42,45)
33.4	39.7	[33,36)
59.8	48.7	[57,60)
36.7	34.6	[36,39)
60.5	62.1	[60,63)
60	55.3	[60,63)
61.4	69.8	[60,63)
54.5	58.8	[54,57)
27.9	33.6	[27,30)
26.1	32.8	[24,27)
50.2	46	[48,51)
37.1	35.2	[36,39)
50.4	66.1	[48,51)
55.7	56.5	[54,57)
43.6	46.5	[42,45)
71.9	73.2	[69,72)
37.6	44.8	[36,39)
64.7	63.9	[63,66)
63.4	60.9	[63,66)
28.9	26.2	[27,30)
32.1	33.5	[30,33)
33.9	33.6	[33,36)
74.2	74.7	[72,75)
54.2	50.1	[54,57)
68.2	74.4	[66,69)
72.1	55.7	[72,75)
24.2	27.8	[24,27)
34	35.5	[33,36)
31.8	33.4	[30,33)
62.3	52.5	[60,63)
32.6	41.1	[30,33)
56	53.7	[54,57)
42.1	49.6	[42,45)
53.5	51.6	[51,54)
34.5	37.6	[33,36)
31.5	34.7	[30,33)
50.7	39.3	[48,51)
28.9	25.4	[27,30)
43.8	41.3	[42,45)
38.6	32.6	[36,39)
31.2	35.1	[30,33)
67.3	65.3	[66,69)
28.2	34.7	[27,30)
46.8	53.8	[45,48)
45.4	42.9	[45,48)
57.6	53.4	[57,60)
40	34.3	[39,42)
56.3	48.8	[54,57)
34.3	26.5	[33,36)
65.9	71	[63,66)
61.3	44.7	[60,63)
74.9	74	[72,75)
63.2	61.6	[63,66)
49.3	50.6	[48,51)
51	50.2	[51,54)
36.8	42.4	[36,39)
65	64.5	[63,66)
49.3	43.1	[48,51)
63.9	63	[63,66)
47.9	50.8	[45,48)
60.1	64.8	[60,63)
71.2	68.8	[69,72)
66.5	72.1	[66,69)
42.6	47.2	[42,45)
42.9	52.3	[42,45)
65.8	66.6	[63,66)
59.9	69.6	[57,60)
60.3	60.8	[60,63)
54.1	39.9	[54,57)
75.4	74.3	[75,78)
40.2	40.1	[39,42)
67.7	67.9	[66,69)
66	76.2	[66,69)
65.5	74.1	[63,66)
62.1	65.5	[60,63)
56.2	59.8	[54,57)
71.6	73.4	[69,72)
78	78	[78,81)
59.9	63.1	[57,60)
41.9	49.4	[39,42)
45.2	39.3	[45,48)
51.6	45.3	[51,54)
43	50.5	[42,45)
59.8	50.4	[57,60)
69.8	72.3	[69,72)
63.9	71.5	[63,66)
67.5	66.5	[66,69)
29.2	30.5	[27,30)
49	57.2	[48,51)
60.7	58.1	[60,63)
58.9	62.4	[57,60)
23.1	27.9	[21,24)
73.2	69	[72,75)
45.6	48.7	[45,48)
68.2	65.8	[66,69)
55.1	47.1	[54,57)
68.3	62.5	[66,69)
47.9	47.3	[45,48)
59.5	54.6	[57,60)
55	59.3	[54,57)
41	42.3	[39,42)
66.6	62.3	[66,69)
45.5	45.2	[45,48)
46.8	41.7	[45,48)
65	65	[63,66)
50	48.3	[48,51)
57.9	64.4	[57,60)
58.8	62.4	[57,60)
45.1	47.1	[45,48)
82.1	68.3	[81,84)
63.8	60.5	[63,66)
56	54.1	[54,57)
35.9	29.4	[33,36)
46.9	47.3	[45,48)
36.4	28.2	[36,39)
